Product,Rating,MRP,Offer_Price,Discount,Reviews,Brand,Discounted_Price
"DEFY Gravity Turbo with Low Latency for Gaming, 30 Hour...",4,2799.0,1799.0,35% off,"(8,724)",DEFY,1000.0
Syska SonicBuds X1 Bluetooth Headset,3.8,2499.0,899.0,64% off,(463),Syska,1600.0
SURYAKUSH Earbuds Pro Bass Sound Fast Charging With 32 ...,,1499.0,464.0,69% off,,SURYAKUSH,1035.0
boAt Airdopes 131 with upto 60 Hours and ASAP Charge Bl...,4,2990.0,1299.0,56% off,"(12,58,071)",boAt,1691.0
"ORAIMO Airbuds 3 Earbuds with ENC, up to 20 hours Playb...",4,2500.0,799.0,68% off,"(5,179)",ORAIMO,1701.0
Tunifi Earbuds F9 TWS Upto 48 Hours Playback with ASAP ...,4,3999.0,699.0,82% off,(401),Tunifi,3300.0
"TXOR SENSO V 1.0 TWS EARBUDS, Bass+ 20 H Play time & Fa...",3.6,1299.0,572.0,55% off,(971),TXOR,727.0
"PTron Basspods P251+, 50Hrs Playback, 12mm Driver, ENC,...",3.9,3999.0,999.0,75% off,"(3,748)",PTron,3000.0
TRUETAG M19 TWS Bluetooth 5.1 Wireless Earbuds With 220...,3.7,4999.0,789.0,84% off,(33),TRUETAG,4210.0
"Noise Air Buds Mini with 15 Hours Playtime, Tru Bass Te...",3.9,2999.0,999.0,66% off,"(2,07,670)",Noise,2000.0
snowbudy X2 Pro Wireless Earbuds with Support Upto 6-8h...,3.8,1799.0,549.0,69% off,(60),snowbudy,1250.0
"Wings Phantom Pro earbuds with Low latency Game mode, 4...",4,5499.0,1299.0,76% off,"(28,956)",Wings,4200.0
Mivi DuoPods F60 ENC with 50+ Hrs Playtime| Made in Ind...,3.8,2999.0,1399.0,53% off,"(62,993)",Mivi,1600.0
GREEN BIRD in-Ear Truly Wireless Earbuds with Fast Char...,3.5,1499.0,482.0,67% off,"(3,562)",GREEN,1017.0
Raman Sales M19 TWS Bluetooth 5.1 Wireless Earbuds With...,3.5,2449.0,681.0,72% off,(48),Raman,1768.0
Mivi DuoPods M30 earbuds with 42 hours of playtime | Ma...,3.7,2999.0,1199.0,60% off,"(66,145)",Mivi,1800.0
"Earboss AirDoze Music with Game Mode(45ms), Quad Mic EN...",4,7999.0,799.0,90% off,(7),Earboss,7200.0
WeCool Freesolo x3 Earbuds with Game Mode Bluetooth Hea...,4,4999.0,1799.0,64% off,"(12,223)",WeCool,3200.0
Wings PowerPods With PowerBank Function Bluetooth Heads...,3.9,9499.0,2199.0,76% off,"(5,718)",Wings,7300.0
"Mivi DuoPods F70 ENC with Quad Mic, 50+ Hrs Playtime| M...",4.1,2999.0,1499.0,50% off,"(38,219)",Mivi,1500.0
"Noise Buds VS102 Plus with 70 Hours Playtime, Instachar...",4,3999.0,1595.0,60% off,"(24,529)",Noise,2404.0
"truke Air Buds with Quad Mic ENC & 20 EQ modes, 10mm Dr...",3.9,3299.0,1099.0,66% off,"(5,245)",truke,2200.0
WINGS WL-PHANTOM430-BLK Bluetooth Gaming Headset,4.3,2999.0,1499.0,50% off,"(1,000)",WINGS,1500.0
